island,region,old_region,year,beekeepers,apiaries,hives,hives_beekeeper,apiary_beekeeper,type
North,Tauranga,Tauranga,2000,496,2971,51008,102.8387097,5.989919355,all
North,PalmerstonNorth,PalmerstonNorth,2000,1214,3655,43534,35.85996705,3.010708402,all
South,Blenheim,Blenheim,2000,414,1741,28443,68.70289855,4.20531401,all
South,Canterbury,Canterbury,2000,727,4748,60356,83.02063274,6.530949106,all
South,Otago_Southland,Otago_Southland,2000,451,3495,50823,112.6895787,7.749445676,all
North,Whangarei,Whangarei,2001,1069,2540,32065,29.99532273,2.376052385,all
North,Hamilton,Hamilton,2001,421,2742,48042,114.1140143,6.513064133,all
North,Tauranga,Tauranga,2001,452,2852,52510,116.1725664,6.309734513,all
North,PalmerstonNorth,PalmerstonNorth,2001,1123,3577,43193,38.46215494,3.185218166,all
South,Blenheim,Blenheim,2001,376,1691,26362,70.11170213,4.497340426,all
South,Canterbury,Canterbury,2001,678,4419,60899,89.82153392,6.517699115,all
South,Otago_Southland,Otago_Southland,2001,420,3483,51020,121.4761905,8.292857143,all
North,Whangarei,Whangarei,2002,870,2123,26420,30.36781609,2.440229885,all
North,Hamilton,Hamilton,2002,343,2555,46428,135.3586006,7.448979592,all
North,Tauranga,Tauranga,2002,379,2793,50115,132.2295515,7.36939314,all
North,PalmerstonNorth,PalmerstonNorth,2002,1016,3662,44309,43.61122047,3.604330709,all
South,Blenheim,Blenheim,2002,344,1599,26364,76.63953488,4.648255814,all
South,Canterbury,Canterbury,2002,610,4263,60906,99.84590164,6.98852459,all
South,Otago_Southland,Otago_Southland,2002,391,3234,48845,124.9232737,8.271099744,all
North,Whangarei,Whangarei,2003,716,2027,26367,36.82541899,2.831005587,all
North,Hamilton,Hamilton,2003,300,2500,46213,154.0433333,8.333333333,all
North,Tauranga,Tauranga,2003,336,2776,47435,141.1755952,8.261904762,all
North,PalmerstonNorth,PalmerstonNorth,2003,972,3662,43511,44.76440329,3.767489712,all
South,Blenheim,Blenheim,2003,316,1674,26836,84.92405063,5.297468354,all
South,Canterbury,Canterbury,2003,573,4318,61505,107.3385689,7.535776614,all
South,Otago_Southland,Otago_Southland,2003,383,3196,48974,127.8694517,8.34464752,all
North,Whangarei,Whangarei,2004,595,1942,26868,45.15630252,3.263865546,all
North,Hamilton,Hamilton,2004,259,2384,41556,160.4478764,9.204633205,all
North,Tauranga,Tauranga,2004,293,2675,46627,159.1365188,9.129692833,all
North,PalmerstonNorth,PalmerstonNorth,2004,865,3525,44333,51.25202312,4.075144509,all
South,Blenheim,Blenheim,2004,302,1651,25921,85.83112583,5.466887417,all
South,Canterbury,Canterbury,2004,540,4159,57659,106.7759259,7.701851852,all
South,Otago_Southland,Otago_Southland,2004,356,3248,49391,138.738764,9.123595506,all
North,Whangarei,Whangarei,2005,517,1895,29591,57.23597679,3.665377176,all
North,Hamilton,Hamilton,2005,210,2259,38397,182.8428571,10.75714286,all
North,Tauranga,Tauranga,2005,255,2708,51911,203.572549,10.61960784,all
North,PalmerstonNorth,PalmerstonNorth,2005,724,3326,44452,61.39779006,4.593922652,all
South,Blenheim,Blenheim,2005,278,1624,25489,91.68705036,5.841726619,all
South,Canterbury,Canterbury,2005,519,4140,56822,109.4836224,7.976878613,all
South,Otago_Southland,Otago_Southland,2005,347,3214,46526,134.0806916,9.262247839,all
North,Whangarei,Whangarei,2006,503,1951,31815,63.25049702,3.878727634,all
North,Hamilton,Hamilton,2006,192,2188,38503,200.5364583,11.39583333,all
North,Tauranga,Tauranga,2006,256,2705,54210,211.7578125,10.56640625,all
North,PalmerstonNorth,PalmerstonNorth,2006,675,3285,46348,68.6637037,4.866666667,all
South,Blenheim,Blenheim,2006,262,1603,24735,94.40839695,6.118320611,all
South,Canterbury,Canterbury,2006,510,4191,55657,109.1313725,8.217647059,all
South,Otago_Southland,Otago_Southland,2006,340,3274,47829,140.6735294,9.629411765,all
North,Whangarei,Whangarei,2007,473,2077,35992,76.09302326,4.391120507,all
North,Hamilton,Hamilton,2007,175,2246,42552,243.1542857,12.83428571,all
North,Tauranga,Tauranga,2007,249,2187,58420,234.6184739,8.78313253,all
North,PalmerstonNorth,PalmerstonNorth,2007,573,3153,47814,83.44502618,5.502617801,all
South,Blenheim,Blenheim,2007,290,1874,26533,91.49310345,6.462068966,all
South,Canterbury,Canterbury,2007,501,3779,52736,105.261477,7.542914172,all
South,Otago_Southland,Otago_Southland,2007,335,3326,51316,153.1820896,9.928358209,all
North,Whangarei,Whangarei,2008,485,2544,44158,91.04742268,5.245360825,all
North,Hamilton,Hamilton,2008,182,2254,43735,240.3021978,12.38461538,all
North,Tauranga,Tauranga,2008,261,3089,65671,251.6130268,11.83524904,all
North,PalmerstonNorth,PalmerstonNorth,2008,570,3431,57298,100.522807,6.019298246,all
South,Blenheim,Blenheim,2008,261,1913,27452,105.1800766,7.329501916,all
South,Canterbury,Canterbury,2008,500,3867,54636,109.272,7.734,all
South,Otago_Southland,Otago_Southland,2008,334,3397,51244,153.4251497,10.17065868,all
North,Whangarei,Whangarei,2009,521,3069,53210,102.1305182,5.89059501,all
North,Hamilton,Hamilton,2009,175,2283,46083,263.3314286,13.04571429,all
North,Tauranga,Tauranga,2009,274,3325,67769,247.3321168,12.1350365,all
North,PalmerstonNorth,PalmerstonNorth,2009,565,3736,60458,107.0053097,6.612389381,all
South,Blenheim,Blenheim,2009,250,1942,28083,112.332,7.768,all
South,Canterbury,Canterbury,2009,524,3743,52870,100.8969466,7.143129771,all
South,Otago_Southland,Otago_Southland,2009,360,3452,54067,150.1861111,9.588888889,all
North,Whangarei,Whangarei,2010,600,3328,52168,86.94666667,5.546666667,all
North,Hamilton,Hamilton,2010,200,2345,45427,227.135,11.725,all
North,Tauranga,Tauranga,2010,295,3501,74290,251.8305085,11.86779661,all
North,PalmerstonNorth,PalmerstonNorth,2010,631,4001,65878,104.4025357,6.340729002,all
South,Blenheim,Blenheim,2010,262,1971,28753,109.7442748,7.522900763,all
South,Canterbury,Canterbury,2010,565,3892,55222,97.7380531,6.888495575,all
South,Otago_Southland,Otago_Southland,2010,404,3472,53215,131.720297,8.594059406,all
South,Blenheim,Blenheim,2011,295,1997,28543,96.7559322,6.769491525,all
South,Canterbury,Canterbury,2011,571,3793,55716,97.57618214,6.642732049,all
North,Hamilton,Hamilton,2011,227,2444,48815,215.0440529,10.76651982,all
South,Otago_Southland,Otago_Southland,2011,417,3333,49069,117.6714628,7.992805755,all
North,PalmerstonNorth,PalmerstonNorth,2011,694,4563,75117,108.2377522,6.574927954,all
North,Tauranga,Tauranga,2011,324,3618,74678,230.4876543,11.16666667,all
North,Whangarei,Whangarei,2011,739,3701,58585,79.27604871,5.00811908,all
South,Blenheim,Blenheim,2012,350,2110,29996,85.70285714,6.028571429,all
South,Canterbury,Canterbury,2012,607,3870,56693,93.39868204,6.375617792,all
North,Hamilton,Hamilton,2012,278,2677,55921,201.1546763,9.629496403,all
South,Otago_Southland,Otago_Southland,2012,445,3336,49952,112.2516854,7.496629213,all
North,PalmerstonNorth,PalmerstonNorth,2012,835,5234,87761,105.102994,6.268263473,all
North,Tauranga,Tauranga,2012,369,3824,79788,216.2276423,10.36314363,all
North,Whangarei,Whangarei,2012,920,4194,63954,69.51521739,4.558695652,all
South,Blenheim,Blenheim,2013,383,2335,32596,85.10704961,6.096605744,all
South,Canterbury,Canterbury,2013,671,3990,58035,86.49031297,5.946348733,all
North,Hamilton,Hamilton,2013,341,2949,62085,182.0674487,8.648093842,all
South,Otago_Southland,Otago_Southland,2013,468,3364,49202,105.1324786,7.188034188,all
North,PalmerstonNorth,PalmerstonNorth,2013,935,6086,103405,110.5935829,6.509090909,all
North,Tauranga,Tauranga,2013,431,4029,83761,194.3410673,9.348027842,all
North,Whangarei,Whangarei,2013,1050,4353,62934,59.93714286,4.145714286,all
South,Blenheim,Blenheim,2014,399,2577,36065,90.38847118,6.458646617,all
South,Canterbury,Canterbury,2014,741,4402,59834,80.74763833,5.940620783,all
North,Hamilton,Hamilton,2014,408,3236,70100,171.8137255,7.931372549,all
South,Otago_Southland,Otago_Southland,2014,526,3431,48207,91.64828897,6.522813688,all
North,PalmerstonNorth,PalmerstonNorth,2014,1059,6817,118344,111.7507082,6.43720491,all
North,Tauranga,Tauranga,2014,498,4437,95262,191.2891566,8.909638554,all
North,Whangarei,Whangarei,2014,1207,5374,75973,62.94366197,4.452361226,all
South,Blenheim,Blenheim,2015,437,2987,42825,97.99771167,6.835240275,all
South,Canterbury,Canterbury,2015,817,4824,63735,78.01101591,5.904528764,all
North,Hamilton,Hamilton,2015,483,3660,77439,160.3291925,7.577639752,all
South,Otago_Southland,Otago_Southland,2015,547,3499,47773,87.33638026,6.396709324,all
North,PalmerstonNorth,PalmerstonNorth,2015,1216,8060,131416,108.0723684,6.628289474,all
North,Tauranga,Tauranga,2015,611,5044,117955,193.0523732,8.255319149,all
North,Whangarei,Whangarei,2015,1435,6428,88883,61.93937282,4.479442509,all
North,Whangarei,Auckland,1945,1418,1305,6769,4.773624824,0.920310296,hobby
North,Hamilton,Hamilton,1945,750,778,4206,5.608,1.037333333,hobby
North,PalmerstonNorth,Hastings,1945,727,856,4451,6.122420908,1.177441541,hobby
North,PalmerstonNorth,PalmerstonNorth,1945,1216,1304,6215,5.111019737,1.072368421,hobby
South,Blenheim,Nelson,1945,422,440,2282,5.407582938,1.042654028,hobby
South,Canterbury,Christchurch,1945,645,711,4964,7.696124031,1.102325581,hobby
South,Otago_Southland,Dunedin,1945,828,875,5583,6.742753623,1.056763285,hobby
North,Whangarei,Auckland,1946,1560,1671,7323,4.694230769,1.071153846,hobby
North,Hamilton,Hamilton,1946,723,810,4145,5.733056708,1.12033195,hobby
North,PalmerstonNorth,Hastings,1946,838,895,4920,5.871121718,1.068019093,hobby
North,PalmerstonNorth,PalmerstonNorth,1946,1186,510,6230,5.252951096,0.430016863,hobby
South,Blenheim,Nelson,1946,465,494,2533,5.447311828,1.062365591,hobby
South,Canterbury,Christchurch,1946,783,865,5131,6.553001277,1.104725415,hobby
South,Otago_Southland,Dunedin,1946,792,843,5486,6.926767677,1.064393939,hobby
North,Whangarei,Auckland,1950,1657,1773,8475,5.114665057,1.070006035,hobby
North,Hamilton,Hamilton,1950,525,547,3860,7.352380952,1.041904762,hobby
North,Tauranga,Tauranga,1950,390,419,2773,7.11025641,1.074358974,hobby
North,PalmerstonNorth,Hastings,1950,793,900,5202,6.559899117,1.134930643,hobby
North,PalmerstonNorth,Taranaki,1950,392,442,2385,6.084183673,1.12755102,hobby
North,PalmerstonNorth,PalmerstonNorth,1950,716,781,4370,6.103351955,1.090782123,hobby
South,Blenheim,Nelson,1950,497,566,3172,6.382293763,1.138832998,hobby
South,Canterbury,Christchurch,1950,382,471,2949,7.719895288,1.232984293,hobby
South,Otago_Southland,Oamaru,1950,332,391,3416,10.28915663,1.177710843,hobby
South,Otago_Southland,Invercargill,1950,438,485,2915,6.655251142,1.107305936,hobby
North,Whangarei,Auckland,1951,1637,1756,8547,5.221136225,1.072693952,hobby
North,Hamilton,Hamilton,1951,509,538,3617,7.106090373,1.05697446,hobby
North,Tauranga,Tauranga,1951,504,551,3651,7.244047619,1.093253968,hobby
North,PalmerstonNorth,Hastings,1951,698,791,4341,6.219197708,1.133237822,hobby
North,PalmerstonNorth,Taranaki,1951,394,423,2101,5.33248731,1.073604061,hobby
North,PalmerstonNorth,PalmerstonNorth,1951,731,817,4230,5.786593707,1.117647059,hobby
South,Blenheim,Nelson,1951,493,560,3067,6.221095335,1.135902637,hobby
South,Canterbury,Christchurch,1951,392,500,3141,8.012755102,1.275510204,hobby
South,Otago_Southland,Oamaru,1951,307,368,2978,9.700325733,1.198697068,hobby
South,Otago_Southland,Invercargill,1951,467,504,3020,6.466809422,1.079229122,hobby
North,Whangarei,Auckland,1952,1637,1519,7786,4.756261454,0.927916921,hobby
North,Hamilton,Hamilton,1952,437,462,3393,7.764302059,1.057208238,hobby
North,Tauranga,Tauranga,1952,522,560,3591,6.879310345,1.072796935,hobby
North,PalmerstonNorth,Hastings,1952,670,786,4466,6.665671642,1.173134328,hobby
North,PalmerstonNorth,Taranaki,1952,383,414,2009,5.245430809,1.080939948,hobby
North,PalmerstonNorth,PalmerstonNorth,1952,741,823,4131,5.574898785,1.110661269,hobby
South,Blenheim,Nelson,1952,502,566,3130,6.235059761,1.12749004,hobby
South,Canterbury,Christchurch,1952,403,526,3213,7.972704715,1.305210918,hobby
South,Otago_Southland,Oamaru,1952,309,370,3094,10.01294498,1.197411003,hobby
South,Otago_Southland,Invercargill,1952,485,525,3050,6.288659794,1.082474227,hobby
North,Whangarei,Auckland,1953,1551,1704,5998,3.867182463,1.098646035,hobby
North,Hamilton,Hamilton,1953,431,447,1847,4.285382831,1.03712297,hobby
North,Tauranga,Tauranga,1953,507,547,3384,6.674556213,1.078895464,hobby
North,PalmerstonNorth,Hastings,1953,657,754,4150,6.316590563,1.147640791,hobby
North,PalmerstonNorth,Taranaki,1953,308,421,2019,6.555194805,1.366883117,hobby
North,PalmerstonNorth,PalmerstonNorth,1953,730,815,4035,5.52739726,1.116438356,hobby
South,Blenheim,Nelson,1953,701,568,3130,4.465049929,0.810271041,hobby
South,Canterbury,Christchurch,1953,387,501,2989,7.723514212,1.294573643,hobby
South,Otago_Southland,Oamaru,1953,300,358,2122,7.073333333,1.193333333,hobby
South,Otago_Southland,Invercargill,1953,514,557,3209,6.243190661,1.083657588,hobby
North,Whangarei,Auckland,1955,1316,1418,6085,4.623860182,1.077507599,hobby
North,Hamilton,Hamilton,1955,407,421,2522,6.196560197,1.034398034,hobby
North,Tauranga,Tauranga,1955,359,399,2412,6.718662953,1.111420613,hobby
North,PalmerstonNorth,Hastings,1955,582,665,3131,5.379725086,1.142611684,hobby
North,PalmerstonNorth,Taranaki,1955,363,396,967,2.663911846,1.090909091,hobby
North,PalmerstonNorth,PalmerstonNorth,1955,621,699,3333,5.367149758,1.125603865,hobby
South,Blenheim,Nelson,1955,341,379,2467,7.234604106,1.11143695,hobby
South,Canterbury,Christchurch,1955,282,392,2240,7.943262411,1.390070922,hobby
South,Otago_Southland,Oamaru,1955,217,253,1990,9.170506912,1.165898618,hobby
South,Otago_Southland,Invercargill,1955,257,274,1583,6.159533074,1.06614786,hobby
North,Whangarei,Northland,1957,567,592,2064,3.64021164,1.044091711,hobby
North,Whangarei,Auckland,1957,686,750,2892,4.21574344,1.093294461,hobby
North,Hamilton,Hamilton,1957,419,452,2489,5.940334129,1.07875895,hobby
North,Tauranga,Tauranga,1957,385,414,2361,6.132467532,1.075324675,hobby
North,PalmerstonNorth,Hastings,1957,607,673,3371,5.55354201,1.108731466,hobby
North,PalmerstonNorth,Hawera,1957,364,397,1917,5.266483516,1.090659341,hobby
North,PalmerstonNorth,PalmerstonNorth,1957,593,656,3024,5.099494098,1.10623946,hobby
South,Blenheim,Nelson,1957,355,395,2020,5.690140845,1.112676056,hobby
South,Canterbury,Christchurch,1957,294,383,2209,7.513605442,1.302721088,hobby
South,Otago_Southland,Oamaru,1957,222,271,2066,9.306306306,1.220720721,hobby
South,Otago_Southland,Invercargill,1957,258,271,1578,6.11627907,1.050387597,hobby
North,Whangarei,Northland,1962,532,573,1129,2.122180451,1.077067669,hobby
North,Whangarei,Auckland,1962,678,725,2762,4.073746313,1.069321534,hobby
North,Hamilton,Hamilton,1962,449,386,2424,5.398663697,0.859688196,hobby
North,Tauranga,Tauranga,1962,317,350,1983,6.255520505,1.104100946,hobby
North,PalmerstonNorth,Hastings,1962,463,626,2776,5.995680346,1.352051836,hobby
North,PalmerstonNorth,Hawera,1962,249,262,1156,4.642570281,1.052208835,hobby
North,PalmerstonNorth,PalmerstonNorth,1962,482,535,2303,4.778008299,1.109958506,hobby
South,Blenheim,Nelson,1962,261,313,1407,5.390804598,1.199233716,hobby
South,Canterbury,Christchurch,1962,318,433,1971,6.198113208,1.36163522,hobby
South,Otago_Southland,Oamaru,1962,237,310,2173,9.168776371,1.308016878,hobby
South,Otago_Southland,Gore,1962,172,204,1300,7.558139535,1.186046512,hobby
North,Whangarei,Northland,1963,530,576,1744,3.290566038,1.086792453,hobby
North,Whangarei,Auckland,1963,688,765,2679,3.893895349,1.111918605,hobby
North,Hamilton,Hamilton,1963,462,511,2577,5.577922078,1.106060606,hobby
North,Tauranga,Tauranga,1963,305,357,1905,6.245901639,1.170491803,hobby
North,PalmerstonNorth,Hastings,1963,544,1175,2689,4.943014706,2.159926471,hobby
North,PalmerstonNorth,Hawera,1963,220,219,1011,4.595454545,0.995454545,hobby
North,PalmerstonNorth,PalmerstonNorth,1963,492,590,2518,5.117886179,1.199186992,hobby
South,Blenheim,Nelson,1963,285,299,1765,6.192982456,1.049122807,hobby
South,Canterbury,Christchurch,1963,318,436,1969,6.191823899,1.371069182,hobby
South,Otago_Southland,Oamaru,1963,221,191,1943,8.791855204,0.864253394,hobby
South,Otago_Southland,Gore,1963,180,226,1231,6.838888889,1.255555556,hobby
North,Whangarei,Northland,1965,564,597,1669,2.959219858,1.058510638,hobby
North,Whangarei,Auckland,1965,689,761,2914,4.229317852,1.104499274,hobby
North,Hamilton,Hamilton,1965,409,468,2709,6.623471883,1.144254279,hobby
North,Tauranga,Tauranga,1965,328,369,1851,5.643292683,1.125,hobby
North,PalmerstonNorth,Hastings,1965,569,612,2467,4.335676626,1.075571178,hobby
North,PalmerstonNorth,Hawera,1965,221,234,952,4.307692308,1.058823529,hobby
North,PalmerstonNorth,PalmerstonNorth,1965,427,518,2361,5.529274005,1.213114754,hobby
South,Blenheim,Nelson,1965,231,283,1399,6.056277056,1.225108225,hobby
South,Canterbury,Christchurch,1965,322,451,1986,6.167701863,1.400621118,hobby
South,Otago_Southland,Oamaru,1965,200,262,1792,8.96,1.31,hobby
South,Otago_Southland,Gore,1965,170,227,1190,7,1.335294118,hobby
North,Whangarei,Northland,1967,378,420,1343,3.552910053,1.111111111,hobby
North,Whangarei,Auckland,1967,483,555,2264,4.6873706,1.149068323,hobby
North,Hamilton,Hamilton,1967,313,394,2132,6.811501597,1.258785942,hobby
North,Tauranga,Tauranga,1967,262,315,1613,6.15648855,1.202290076,hobby
North,PalmerstonNorth,Hastings,1967,313,382,2213,7.07028754,1.220447284,hobby
North,PalmerstonNorth,Hawera,1967,188,213,1123,5.973404255,1.132978723,hobby
North,PalmerstonNorth,PalmerstonNorth,1967,388,481,2415,6.224226804,1.239690722,hobby
South,Blenheim,Nelson,1967,183,208,1231,6.726775956,1.136612022,hobby
South,Canterbury,Christchurch,1967,241,341,1307,5.423236515,1.414937759,hobby
South,Otago_Southland,Oamaru,1967,169,239,1461,8.644970414,1.414201183,hobby
South,Otago_Southland,Gore,1967,142,175,1252,8.816901408,1.232394366,hobby
North,Whangarei,Northland,1969,346,437,1169,3.378612717,1.26300578,hobby
North,Whangarei,Auckland,1969,511,493,2642,5.170254403,0.964774951,hobby
North,Hamilton,Hamilton,1969,336,436,2284,6.797619048,1.297619048,hobby
North,Tauranga,Tauranga,1969,206,251,1294,6.281553398,1.218446602,hobby
North,PalmerstonNorth,Hastings,1969,211,307,1609,7.625592417,1.454976303,hobby
North,PalmerstonNorth,Hawera,1969,187,261,1046,5.593582888,1.395721925,hobby
North,PalmerstonNorth,PalmerstonNorth,1969,390,495,2135,5.474358974,1.269230769,hobby
South,Blenheim,Nelson,1969,164,207,1101,6.713414634,1.262195122,hobby
South,Canterbury,Christchurch,1969,223,357,1525,6.838565022,1.600896861,hobby
South,Otago_Southland,Oamaru,1969,142,213,1354,9.535211268,1.5,hobby
South,Otago_Southland,Gore,1969,132,174,1006,7.621212121,1.318181818,hobby
North,Whangarei,Northland,1973,644,865,2871,4.458074534,1.343167702,hobby
North,Whangarei,Auckland,1973,513,736,2523,4.918128655,1.434697856,hobby
North,Hamilton,Hamilton,1973,299,435,1902,6.361204013,1.454849498,hobby
North,Tauranga,Tauranga,1973,231,319,1982,8.58008658,1.380952381,hobby
North,PalmerstonNorth,Hastings,1973,188,286,1430,7.606382979,1.521276596,hobby
North,PalmerstonNorth,PalmerstonNorth,1973,421,600,2489,5.912114014,1.425178147,hobby
North,PalmerstonNorth,Hawera,1973,183,250,1933,10.56284153,1.366120219,hobby
South,Blenheim,Nelson,1973,203,280,1351,6.655172414,1.379310345,hobby
South,Canterbury,Christchurch,1973,217,357,1539,7.092165899,1.64516129,hobby
South,Otago_Southland,Oamaru,1973,135,211,1451,10.74814815,1.562962963,hobby
South,Otago_Southland,Gore,1973,133,183,1027,7.721804511,1.37593985,hobby
North,Whangarei,Northland,1975,415,547,1597,3.848192771,1.318072289,hobby
North,Whangarei,Auckland,1975,566,769,2863,5.058303887,1.358657244,hobby
North,Hamilton,Hamilton,1975,302,412,1934,6.40397351,1.364238411,hobby
North,Tauranga,Tauranga,1975,210,306,1259,5.995238095,1.457142857,hobby
North,PalmerstonNorth,Hastings,1975,160,237,1095,6.84375,1.48125,hobby
North,PalmerstonNorth,PalmerstonNorth,1975,389,531,2140,5.501285347,1.36503856,hobby
North,PalmerstonNorth,Hawera,1975,191,231,1030,5.392670157,1.209424084,hobby
South,Blenheim,Nelson,1975,240,322,1247,5.195833333,1.341666667,hobby
South,Canterbury,Christchurch,1975,225,344,1328,5.902222222,1.528888889,hobby
South,Otago_Southland,Oamaru,1975,118,196,1119,9.483050847,1.661016949,hobby
South,Otago_Southland,Gore,1975,141,163,919,6.517730496,1.156028369,hobby
North,Whangarei,Auckland,1977,1149,1394,5535,4.817232376,1.213228895,hobby
North,Hamilton,Hamilton,1977,324,460,2134,6.586419753,1.419753086,hobby
North,Tauranga,Tauranga,1977,241,296,1431,5.937759336,1.228215768,hobby
North,PalmerstonNorth,Hastings,1977,175,251,1300,7.428571429,1.434285714,hobby
North,PalmerstonNorth,PalmerstonNorth,1977,438,635,2341,5.344748858,1.449771689,hobby
North,PalmerstonNorth,Hawera,1977,189,290,1367,7.232804233,1.534391534,hobby
South,Blenheim,Nelson,1977,281,412,1511,5.377224199,1.466192171,hobby
South,Canterbury,Christchurch,1977,278,444,1862,6.697841727,1.597122302,hobby
South,Otago_Southland,Oamaru,1977,141,216,1001,7.09929078,1.531914894,hobby
South,Otago_Southland,Gore,1977,156,211,1134,7.269230769,1.352564103,hobby
North,Whangarei,North Auckland,1978,238,707,2570,10.79831933,2.970588235,hobby
North,Whangarei,Auckland,1978,244,934,2930,12.00819672,3.827868852,hobby
North,Hamilton,Hamilton,1978,330,579,2527,7.657575758,1.754545455,hobby
North,Tauranga,Tauranga,1978,296,358,1660,5.608108108,1.209459459,hobby
North,PalmerstonNorth,Hastings,1978,388,274,1335,3.440721649,0.706185567,hobby
North,PalmerstonNorth,Hawera,1978,198,283,1323,6.681818182,1.429292929,hobby
North,PalmerstonNorth,PalmerstonNorth,1978,262,676,2500,9.541984733,2.580152672,hobby
South,Blenheim,Nelson,1978,285,470,1903,6.677192982,1.649122807,hobby
South,Canterbury,Christchurch,1978,364,530,1924,5.285714286,1.456043956,hobby
South,Otago_Southland,Oamaru,1978,620,230,1105,1.782258065,0.370967742,hobby
South,Otago_Southland,Gore,1978,512,311,1359,2.654296875,0.607421875,hobby
North,Whangarei,North Auckland,1979,671,858,3278,4.885245902,1.278688525,hobby
North,Whangarei,Auckland,1979,808,1090,3334,4.126237624,1.349009901,hobby
North,Hamilton,Hamilton,1979,435,601,2947,6.774712644,1.381609195,hobby
North,Tauranga,Tauranga,1979,324,457,2015,6.219135802,1.410493827,hobby
North,PalmerstonNorth,Hastings,1979,195,266,1267,6.497435897,1.364102564,hobby
North,PalmerstonNorth,Hawera,1979,208,279,1391,6.6875,1.341346154,hobby
North,PalmerstonNorth,PalmerstonNorth,1979,514,720,2886,5.614785992,1.40077821,hobby
South,Blenheim,Nelson,1979,336,528,1986,5.910714286,1.571428571,hobby
South,Canterbury,Christchurch,1979,350,555,2070,5.914285714,1.585714286,hobby
South,Otago_Southland,Oamaru,1979,176,240,1206,6.852272727,1.363636364,hobby
South,Otago_Southland,Gore,1979,195,301,1485,7.615384615,1.543589744,hobby
North,Whangarei,North Auckland,1980,747,985,3340,4.471218206,1.318607764,hobby
North,Whangarei,Auckland,1980,920,1203,3748,4.073913043,1.307608696,hobby
North,Hamilton,Hamilton,1980,503,741,3079,6.121272366,1.473161034,hobby
North,Tauranga,Tauranga,1980,352,485,1921,5.457386364,1.377840909,hobby
North,PalmerstonNorth,Hastings,1980,369,518,2098,5.685636856,1.403794038,hobby
North,PalmerstonNorth,PalmerstonNorth,1980,687,1001,4406,6.413391557,1.45705968,hobby
South,Blenheim,Nelson,1980,395,609,1968,4.982278481,1.541772152,hobby
South,Canterbury,Christchurch,1980,411,670,2465,5.99756691,1.630170316,hobby
South,Otago_Southland,Oamaru,1980,199,280,1351,6.788944724,1.407035176,hobby
South,Otago_Southland,Gore,1980,209,288,1433,6.85645933,1.377990431,hobby
North,Whangarei,North Auckland,1981,819,1073,3659,4.467643468,1.31013431,hobby
North,Whangarei,Auckland,1981,951,1275,4141,4.354363828,1.340694006,hobby
North,Hamilton,Hamilton,1981,544,725,3099,5.696691176,1.332720588,hobby
North,Tauranga,Tauranga,1981,485,705,3221,6.641237113,1.453608247,hobby
North,PalmerstonNorth,PalmerstonNorth,1981,1021,1453,5851,5.730656219,1.423114594,hobby
South,Blenheim,Nelson,1981,427,627,2178,5.100702576,1.468384075,hobby
South,Canterbury,Christchurch,1981,435,701,2635,6.057471264,1.611494253,hobby
South,Otago_Southland,Oamaru,1981,208,301,1499,7.206730769,1.447115385,hobby
South,Otago_Southland,Gore,1981,234,337,1890,8.076923077,1.44017094,hobby
North,Whangarei,North Auckland,1982,873,1192,3841,4.399770905,1.365406644,hobby
North,Whangarei,Auckland,1982,1013,1328,4102,4.049358342,1.310957552,hobby
North,Hamilton,Hamilton,1982,563,723,3378,6,1.284191829,hobby
North,Tauranga,Tauranga,1982,517,751,3435,6.64410058,1.452611219,hobby
North,PalmerstonNorth,PalmerstonNorth,1982,1083,1511,6281,5.799630656,1.395198523,hobby
South,Blenheim,Nelson,1982,480,747,2516,5.241666667,1.55625,hobby
South,Canterbury,Christchurch,1982,538,763,2772,5.152416357,1.418215613,hobby
South,Otago_Southland,Oamaru,1982,231,354,1940,8.398268398,1.532467532,hobby
South,Otago_Southland,Gore,1982,270,386,1984,7.348148148,1.42962963,hobby
North,Whangarei,North Auckland,1983,838,1247,4445,5.304295943,1.488066826,hobby
North,Whangarei,Auckland,1983,1117,1525,5189,4.645478962,1.3652641,hobby
North,Hamilton,Hamilton,1983,586,803,3430,5.853242321,1.370307167,hobby
North,Tauranga,Tauranga,1983,637,915,4579,7.188383046,1.436420722,hobby
North,PalmerstonNorth,PalmerstonNorth,1983,1053,1443,5366,5.095916429,1.37037037,hobby
South,Blenheim,Nelson,1983,515,914,2838,5.510679612,1.774757282,hobby
South,Canterbury,Christchurch,1983,638,992,3036,4.75862069,1.554858934,hobby
South,Otago_Southland,Oamaru,1983,248,370,2044,8.241935484,1.491935484,hobby
South,Otago_Southland,Gore,1983,268,356,2140,7.985074627,1.328358209,hobby
North,Whangarei,North Auckland,1984,943,1380,4955,5.254506893,1.463414634,hobby
North,Whangarei,Auckland,1984,1113,1527,5376,4.830188679,1.371967655,hobby
North,Hamilton,Hamilton,1984,612,844,3785,6.184640523,1.379084967,hobby
North,Tauranga,Tauranga,1984,675,913,4881,7.231111111,1.352592593,hobby
North,PalmerstonNorth,PalmerstonNorth,1984,1177,1749,6770,5.75191164,1.485981308,hobby
South,Blenheim,Nelson,1984,510,818,2888,5.662745098,1.603921569,hobby
South,Canterbury,Christchurch,1984,621,845,2890,4.653784219,1.360708535,hobby
South,Otago_Southland,Oamaru,1984,276,383,2030,7.355072464,1.387681159,hobby
