island,region,old_region,year,beekeepers,apiaries,hives,hives_beekeeper,apiary_beekeeper,type
North,PalmerstonNorth,Hawera,1962,270,619,10851,40.18888889,2.292592593,all
North,PalmerstonNorth,PalmerstonNorth,1962,505,870,8683,17.19405941,1.722772277,all
South,Blenheim,Nelson,1962,285,595,8261,28.98596491,2.087719298,all
South,Canterbury,Christchurch,1962,386,2048,23473,60.81088083,5.305699482,all
South,Otago_Southland,Oamaru,1962,300,1581,22611,75.37,5.27,all
South,Otago_Southland,Gore,1962,232,1013,17896,77.13793103,4.36637931,all
North,Whangarei,Northland,1963,558,940,10700,19.17562724,1.684587814,all
North,Whangarei,Auckland,1963,709,934,6700,9.449929478,1.317348378,all
North,Hamilton,Hamilton,1963,547,1531,36660,67.02010969,2.798903108,all
North,Tauranga,Tauranga,1963,347,818,20471,58.99423631,2.357348703,all
North,PalmerstonNorth,Hastings,1963,568,1672,14229,25.05105634,2.943661972,all
North,PalmerstonNorth,Hawera,1963,242,588,10035,41.46694215,2.429752066,all
North,PalmerstonNorth,PalmerstonNorth,1963,513,904,8433,16.43859649,1.762183236,all
South,Blenheim,Nelson,1963,390,2165,24682,63.28717949,5.551282051,all
South,Canterbury,Christchurch,1963,312,603,8967,28.74038462,1.932692308,all
South,Otago_Southland,Oamaru,1963,279,1658,23215,83.2078853,5.94265233,all
South,Otago_Southland,Gore,1963,236,1248,20201,85.59745763,5.288135593,all
North,Whangarei,Northland,1965,589,993,9491,16.11375212,1.685908319,all
North,Whangarei,Auckland,1965,719,1021,8614,11.98052851,1.420027816,all
North,Hamilton,Hamilton,1965,496,1657,40236,81.12096774,3.340725806,all
North,Tauranga,Tauranga,1965,375,929,23122,61.65866667,2.477333333,all
North,PalmerstonNorth,Hastings,1965,596,1010,13912,23.34228188,1.694630872,all
North,PalmerstonNorth,Hawera,1965,244,610,10010,41.02459016,2.5,all
North,PalmerstonNorth,PalmerstonNorth,1965,449,819,7582,16.88641425,1.824053452,all
South,Blenheim,Nelson,1965,258,626,9306,36.06976744,2.426356589,all
South,Canterbury,Christchurch,1965,391,2389,27271,69.74680307,6.109974425,all
South,Otago_Southland,Oamaru,1965,264,1832,25524,96.68181818,6.939393939,all
South,Otago_Southland,Gore,1965,232,1459,22521,97.07327586,6.288793103,all
North,Whangarei,Northland,1967,405,849,10718,26.46419753,2.096296296,all
North,Whangarei,Auckland,1967,505,746,7104,14.06732673,1.477227723,all
North,Hamilton,Hamilton,1967,381,1620,35726,93.76902887,4.251968504,all
North,Tauranga,Tauranga,1967,318,1025,25898,81.44025157,3.22327044,all
North,PalmerstonNorth,Hastings,1967,348,872,14924,42.88505747,2.505747126,all
North,PalmerstonNorth,Hawera,1967,403,842,8522,21.14640199,2.089330025,all
North,PalmerstonNorth,PalmerstonNorth,1967,211,546,8286,39.27014218,2.587677725,all
South,Blenheim,Nelson,1967,209,549,8516,40.74641148,2.626794258,all
South,Canterbury,Christchurch,1967,301,2388,25430,84.48504983,7.933554817,all
South,Otago_Southland,Oamaru,1967,226,1949,26515,117.3230088,8.623893805,all
South,Otago_Southland,Gore,1967,198,1384,22574,114.010101,6.98989899,all
North,Whangarei,Northland,1969,368,806,9163,24.89945652,2.190217391,all
North,Whangarei,Auckland,1969,528,809,7373,13.96401515,1.53219697,all
North,Hamilton,Hamilton,1969,394,1694,37036,94,4.299492386,all
North,Tauranga,Tauranga,1969,246,726,21826,88.72357724,2.951219512,all
North,PalmerstonNorth,Hastings,1969,232,898,12647,54.51293103,3.870689655,all
North,PalmerstonNorth,Hawera,1969,213,598,8190,38.45070423,2.807511737,all
North,PalmerstonNorth,PalmerstonNorth,1969,413,945,10155,24.58837772,2.288135593,all
South,Blenheim,Nelson,1969,186,534,9277,49.87634409,2.870967742,all
South,Canterbury,Christchurch,1969,282,2560,27010,95.78014184,9.078014184,all
South,Otago_Southland,Oamaru,1969,192,2057,26737,139.2552083,10.71354167,all
South,Otago_Southland,Gore,1969,187,1433,21559,115.2887701,7.663101604,all
North,Whangarei,Northland,1973,671,1559,12236,18.23546945,2.323397914,all
North,Whangarei,Auckland,1973,532,1014,6171,11.59962406,1.906015038,all
North,Hamilton,Hamilton,1973,342,1769,39286,114.871345,5.17251462,all
North,Tauranga,Tauranga,1973,268,1024,21176,79.01492537,3.820895522,all
North,PalmerstonNorth,Hastings,1973,209,864,13853,66.28229665,4.133971292,all
North,PalmerstonNorth,PalmerstonNorth,1973,433,1195,11093,25.61893764,2.759815242,all
North,PalmerstonNorth,Hawera,1973,205,612,8839,43.11707317,2.985365854,all
South,Blenheim,Nelson,1973,241,720,11200,46.47302905,2.987551867,all
South,Canterbury,Christchurch,1973,265,2565,23108,87.2,9.679245283,all
South,Otago_Southland,Oamaru,1973,211,2308,31173,147.7393365,10.93838863,all
South,Otago_Southland,Gore,1973,183,1754,29809,162.8907104,9.584699454,all
North,Whangarei,Northland,1975,436,1307,13129,30.11238532,2.997706422,all
North,Whangarei,Auckland,1975,583,971,6108,10.47684391,1.665523156,all
North,Hamilton,Hamilton,1975,345,1894,3429,9.939130435,5.489855072,all
North,Tauranga,Tauranga,1975,233,1089,19851,85.19742489,4.673819742,all
North,PalmerstonNorth,Hastings,1975,177,903,14221,80.34463277,5.101694915,all
North,PalmerstonNorth,PalmerstonNorth,1975,411,1106,10963,26.67396594,2.690997567,all
North,PalmerstonNorth,Hawera,1975,208,587,7376,35.46153846,2.822115385,all
South,Blenheim,Nelson,1975,265,888,12342,46.57358491,3.350943396,all
South,Canterbury,Christchurch,1975,275,2477,26294,95.61454545,9.007272727,all
South,Otago_Southland,Oamaru,1975,160,2338,30970,193.5625,14.6125,all
South,Otago_Southland,Gore,1975,187,1836,28668,153.3048128,9.818181818,all
North,Whangarei,Auckland,1977,1199,2376,20419,17.03002502,1.981651376,all
North,Hamilton,Hamilton,1977,367,2008,32454,88.43051771,5.471389646,all
North,Tauranga,Tauranga,1977,262,1196,19210,73.32061069,4.564885496,all
North,PalmerstonNorth,Hastings,1977,190,969,14256,75.03157895,5.1,all
North,PalmerstonNorth,PalmerstonNorth,1977,460,1318,13061,28.39347826,2.865217391,all
North,PalmerstonNorth,Hawera,1977,208,692,8616,41.42307692,3.326923077,all
South,Blenheim,Nelson,1977,301,923,11063,36.75415282,3.066445183,all
South,Canterbury,Christchurch,1977,329,2471,27898,84.79635258,7.510638298,all
South,Otago_Southland,Oamaru,1977,188,2350,31375,166.8882979,12.5,all
South,Otago_Southland,Gore,1977,205,1960,28885,140.902439,9.56097561,all
North,Whangarei,North Auckland,1978,603,1535,15139,25.10613599,2.545605307,all
North,Whangarei,Auckland,1978,727,1132,6094,8.382393398,1.557083906,all
North,Hamilton,Hamilton,1978,427,2149,33777,79.1030445,5.032786885,all
North,Tauranga,Tauranga,1978,298,1507,19464,65.31543624,5.05704698,all
North,PalmerstonNorth,Hastings,1978,19,992,15390,810,52.21052632,all
North,PalmerstonNorth,Hawera,1978,216,677,8575,39.69907407,3.134259259,all
North,PalmerstonNorth,PalmerstonNorth,1978,500,1423,13505,27.01,2.846,all
South,Blenheim,Nelson,1978,331,1057,12215,36.90332326,3.193353474,all
South,Canterbury,Christchurch,1978,369,2486,27627,74.8699187,6.737127371,all
South,Otago_Southland,Oamaru,1978,206,2316,30817,149.5970874,11.24271845,all
South,Otago_Southland,Gore,1978,229,1999,28425,124.1266376,8.729257642,all
North,Whangarei,North Auckland,1979,706,1702,15402,21.81586402,2.410764873,all
North,Whangarei,Auckland,1979,832,1339,7037,8.457932692,1.609375,all
North,Hamilton,Hamilton,1979,489,2205,36600,74.84662577,4.509202454,all
North,Tauranga,Tauranga,1979,353,1733,22006,62.33994334,4.909348442,all
North,PalmerstonNorth,Hastings,1979,210,1009,13682,65.15238095,4.804761905,all
North,PalmerstonNorth,Hawera,1979,230,674,8571,37.26521739,2.930434783,all
North,PalmerstonNorth,PalmerstonNorth,1979,538,1406,12766,23.72862454,2.6133829,all
South,Blenheim,Nelson,1979,369,1264,13450,36.4498645,3.425474255,all
South,Canterbury,Christchurch,1979,403,2607,30834,76.51116625,6.46898263,all
South,Otago_Southland,Oamaru,1979,234,2513,34792,148.6837607,10.73931624,all
South,Otago_Southland,Gore,1979,243,1986,31730,130.5761317,8.172839506,all
North,Whangarei,North Auckland,1980,786,1962,20325,25.85877863,2.496183206,all
North,Whangarei,Auckland,1980,943,1470,7452,7.902439024,1.558854719,all
North,Hamilton,Hamilton,1980,561,2455,38260,68.19964349,4.376114082,all
North,Tauranga,Tauranga,1980,388,1668,18812,48.48453608,4.298969072,all
North,PalmerstonNorth,Hastings,1980,395,1525,20793,52.64050633,3.860759494,all
North,PalmerstonNorth,PalmerstonNorth,1980,727,1901,18181,25.00825309,2.614855571,all
South,Blenheim,Nelson,1980,435,1422,14253,32.76551724,3.268965517,all
South,Canterbury,Christchurch,1980,467,2542,32787,70.20770878,5.443254818,all
South,Otago_Southland,Oamaru,1980,255,2515,33056,129.6313725,9.862745098,all
South,Otago_Southland,Gore,1980,260,1990,29891,114.9653846,7.653846154,all
North,Whangarei,North Auckland,1981,861,2026,17309,20.10336818,2.353077816,all
North,Whangarei,Auckland,1981,976,1513,7477,7.660860656,1.550204918,all
North,Hamilton,Hamilton,1981,604,2705,39906,66.06953642,4.478476821,all
North,Tauranga,Tauranga,1981,533,1920,25982,48.7467167,3.602251407,all
North,PalmerstonNorth,PalmerstonNorth,1981,1078,3149,34899,32.37384045,2.921150278,all
South,Blenheim,Nelson,1981,473,1430,14870,31.43763214,3.023255814,all
South,Canterbury,Christchurch,1981,504,2747,36095,71.61706349,5.450396825,all
South,Otago_Southland,Oamaru,1981,265,2670,34202,129.0641509,10.0754717,all
South,Otago_Southland,Gore,1981,284,1999,27357,96.32746479,7.038732394,all
North,Whangarei,North Auckland,1982,916,2102,19528,21.31877729,2.294759825,all
North,Whangarei,Auckland,1982,1041,1590,7898,7.586935639,1.527377522,all
North,Hamilton,Hamilton,1982,620,2642,40852,65.89032258,4.261290323,all
North,Tauranga,Tauranga,1982,577,2238,30316,52.5407279,3.878682842,all
North,PalmerstonNorth,PalmerstonNorth,1982,1143,3320,36770,32.16972878,2.90463692,all
South,Blenheim,Nelson,1982,529,1724,17557,33.18903592,3.258979206,all
South,Canterbury,Christchurch,1982,612,2769,36035,58.88071895,4.524509804,all
South,Otago_Southland,Oamaru,1982,292,2706,35767,122.489726,9.267123288,all
South,Otago_Southland,Gore,1982,322,1924,28882,89.69565217,5.97515528,all
North,Whangarei,North Auckland,1983,878,2165,21172,24.11389522,2.465831435,all
North,Whangarei,Auckland,1983,1152,1991,12618,10.953125,1.728298611,all
North,Hamilton,Hamilton,1983,654,2608,40757,62.31957187,3.987767584,all
North,Tauranga,Tauranga,1983,717,2680,37026,51.64016736,3.737796374,all
North,PalmerstonNorth,PalmerstonNorth,1983,1108,3164,33218,29.9801444,2.855595668,all
South,Blenheim,Nelson,1983,575,2694,20046,34.8626087,4.685217391,all
South,Canterbury,Christchurch,1983,717,3630,36653,51.11994421,5.062761506,all
South,Otago_Southland,Oamaru,1983,326,2846,37670,115.5521472,8.73006135,all
South,Otago_Southland,Gore,1983,318,1866,29883,93.97169811,5.867924528,all
North,Whangarei,North Auckland,1984,993,2405,20834,20.98086606,2.421953676,all
North,Whangarei,Auckland,1984,1151,2036,13258,11.51867941,1.768896612,all
North,Hamilton,Hamilton,1984,689,2481,37767,54.81422351,3.600870827,all
North,Tauranga,Tauranga,1984,772,2939,43313,56.10492228,3.806994819,all
North,PalmerstonNorth,PalmerstonNorth,1984,1237,3688,37754,30.52061439,2.981406629,all
South,Blenheim,Nelson,1984,571,2011,20748,36.33625219,3.521891419,all
South,Canterbury,Christchurch,1984,709,3758,40321,56.87023977,5.300423131,all
South,Otago_Southland,Oamaru,1984,356,2529,34295,96.33426966,7.103932584,all
South,Otago_Southland,Gore,1984,338,2113,28715,84.9556213,6.25147929,all
North,Whangarei,North Auckland,1985,657,1640,18265,27.80060883,2.496194825,all
North,Whangarei,Auckland,1985,1467,2715,18594,12.67484663,1.850715746,all
North,Hamilton,Hamilton,1985,739,3272,45466,61.52368065,4.427604871,all
North,Tauranga,Tauranga,1985,801,3355,48329,60.33583021,4.188514357,all
North,PalmerstonNorth,PalmerstonNorth,1985,1395,3793,36274,26.00286738,2.718996416,all
South,Blenheim,Nelson,1985,583,2133,22775,39.0651801,3.658662093,all
South,Canterbury,Christchurch,1985,780,3528,45169,57.90897436,4.523076923,all
South,Otago_Southland,Oamaru,1985,355,3455,4606,12.97464789,9.732394366,all
South,Otago_Southland,Gore,1985,326,2199,28753,88.1993865,6.745398773,all
North,Whangarei,Whangarei,1986,659,1849,17867,27.11229135,2.805766313,all
North,Whangarei,Auckland,1986,1197,2953,27450,22.93233083,2.467000835,all
North,Hamilton,Hamilton,1986,726,3100,46288,63.75757576,4.269972452,all
North,Tauranga,Tauranga,1986,833,3661,52324,62.81392557,4.394957983,all
North,PalmerstonNorth,PalmerstonNorth,1986,1393,3851,39434,28.30868629,2.764536971,all
South,Blenheim,Nelson,1986,596,2268,25907,43.46812081,3.805369128,all
South,Canterbury,Christchurch,1986,804,3816,48751,60.63557214,4.746268657,all
South,Otago_Southland,Oamaru,1986,360,3189,41730,115.9166667,8.858333333,all
South,Otago_Southland,Gore,1986,366,2179,29210,79.80874317,5.953551913,all
North,Whangarei,Whangarei,1987,690,1927,19656,28.48695652,2.792753623,all
North,Whangarei,Auckland,1987,1492,2848,23509,15.75670241,1.908847185,all
North,Hamilton,Hamilton,1987,753,3041,45705,60.69721116,4.038512616,all
North,Tauranga,Tauranga,1987,790,3788,58423,73.95316456,4.794936709,all
North,PalmerstonNorth,PalmerstonNorth,1987,1537,4082,40969,26.65517241,2.655823032,all
South,Blenheim,Nelson,1987,592,2260,26341,44.49493243,3.817567568,all
South,Canterbury,Christchurch,1987,835,3782,47869,57.32814371,4.529341317,all
South,Otago_Southland,Oamaru,1987,390,3661,47710,122.3333333,9.387179487,all
South,Otago_Southland,Gore,1987,373,2231,30251,81.10187668,5.981233244,all
North,Whangarei,Whangarei,1988,670,1837,18335,27.36567164,2.741791045,all
North,Whangarei,Auckland,1988,1301,2307,20285,15.59185242,1.773251345,all
North,Hamilton,Hamilton,1988,820,3113,43678,53.26585366,3.796341463,all
North,Tauranga,Tauranga,1988,724,3800,61451,84.87707182,5.248618785,all
North,PalmerstonNorth,PalmerstonNorth,1988,1503,4162,41719,27.75715236,2.76912841,all
South,Blenheim,Nelson,1988,587,2268,26921,45.86201022,3.863713799,all
South,Canterbury,Christchurch,1988,965,5181,64233,66.5626943,5.368911917,all
South,Otago_Southland,Gore,1988,621,4509,59080,95.13687601,7.260869565,all
North,Whangarei,Whangarei,1989,614,1778,9170,14.93485342,2.895765472,all
